Title,Year,Source title,DOI,Link
"Towards 5G: A Reinforcement Learning-Based Scheduling Solution for Data Traffic Management",2018,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2018.2863563","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051023360&doi=10.1109%2fTNSM.2018.2863563&partnerID=40&md5=6d381a318d5d3b114c2860016fccd8b3"
"Customizable Function Chains: Managing Service Chain Variability in Hybrid NFV Networks",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2580668","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006762297&doi=10.1109%2fTNSM.2016.2580668&partnerID=40&md5=2346d20890c04fe60f034289519a9cd9"
"Secure Data Query Framework for Cloud and Fog Computing",2020,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2019.2941869","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074165686&doi=10.1109%2fTNSM.2019.2941869&partnerID=40&md5=8d8715ceb0810362de45fe22c99a9193"
"A Deep Reinforcement Learning Approach for VNF Forwarding Graph Embedding",2019,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2019.2947905","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076674711&doi=10.1109%2fTNSM.2019.2947905&partnerID=40&md5=f08b952f80fd64b2d2f47d2c80e47fa9"
"An Efficient Route Management Framework for Load Balance and Overhead Reduction in SDN-Based Data Center Networks",2018,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2018.2872054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054363395&doi=10.1109%2fTNSM.2018.2872054&partnerID=40&md5=893c41f412e3ac35e1f52223592952af"
"Response Time and Availability Study of RAFT Consensus in Distributed SDN Control Plane",2018,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2775061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035150500&doi=10.1109%2fTNSM.2017.2775061&partnerID=40&md5=31f3fcb477310f27dc0bb87bb6ba7363"
"Wildcard Rules Caching and Cache Replacement Algorithms in Software-Defined Networking",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2530687","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963936269&doi=10.1109%2fTNSM.2016.2530687&partnerID=40&md5=ca913a60fe52ba749baa60d6e535043c"
"T-NOVA: An open-source MANO stack for NFV infrastructures",2017,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2733620","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029164201&doi=10.1109%2fTNSM.2017.2733620&partnerID=40&md5=f8530c3ce365576fbd5cace8fc3032da"
"Multi-Provider Service Chain Embedding With Nestor",2017,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2654681","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015653822&doi=10.1109%2fTNSM.2017.2654681&partnerID=40&md5=ab1d1c033b53cc4b7429852b32b9a7dd"
"Optimized provisioning of edge computing resources with heterogeneous workload in IoT networks",2019,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2019.2894955","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071107031&doi=10.1109%2fTNSM.2019.2894955&partnerID=40&md5=8f973bdaf5a7036edfa05904d3a67a7d"
"Linking Virtual Machine Mobility to User Mobility",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2592241","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006716727&doi=10.1109%2fTNSM.2016.2592241&partnerID=40&md5=8c48b0e8327d8d0f3d0a4d890f5e7269"
"Optimization of SDN Flow Operations in Multi-Failure Restoration Scenarios",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2580590","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991293618&doi=10.1109%2fTNSM.2016.2580590&partnerID=40&md5=369230133f2e04381d0d2c8ab592b8e7"
"Efficient and Secure Multi-User Multi-Task Computation Offloading for Mobile-Edge Computing in Mobile IoT Networks",2020,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2020.3020249","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090449749&doi=10.1109%2fTNSM.2020.3020249&partnerID=40&md5=f98b0cf7f108a8297e5337f3ef666b3d"
"Control Path Management Framework for Enhancing Software-Defined Network (SDN) Reliability",2017,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2669082","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020922710&doi=10.1109%2fTNSM.2017.2669082&partnerID=40&md5=30c6646ab008d92ad31e1be589b2d5fa"
"Network Volume Anomaly Detection and Identification in Large-Scale Networks Based on Online Time-Structured Traffic Tensor Tracking",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2598788","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991474964&doi=10.1109%2fTNSM.2016.2598788&partnerID=40&md5=9dc746e8523a6de7eff7d0d1f0f58bcc"
"Control Plane Latency with SDN Network Hypervisors: The Cost of Virtualization",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2587900","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991377748&doi=10.1109%2fTNSM.2016.2587900&partnerID=40&md5=43be7945cbe00df5aa75ba9bd9ecec51"
"Design Patterns and Extensibility of REST API for Networking Applications",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2516946","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963956960&doi=10.1109%2fTNSM.2016.2516946&partnerID=40&md5=ab885dcd76751e769498ee056e896e0b"
"Reconfiguration in network slicing-optimizing the profit and performance",2019,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2019.2899609","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071036099&doi=10.1109%2fTNSM.2019.2899609&partnerID=40&md5=771514d0805c107170ff8c98e182a43c"
"SDN-Based Traffic Aware Placement of NFV Middleboxes",2017,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2729506","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028823633&doi=10.1109%2fTNSM.2017.2729506&partnerID=40&md5=f5e9c6f3f5f1aa13f631d6e760f57da4"
"Generalized recovery from node failure in virtual network embedding",2017,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2693404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020863717&doi=10.1109%2fTNSM.2017.2693404&partnerID=40&md5=40a02e1dae891921a157ff8d8cde2558"
"Adaptive Path Isolation for Elephant and Mice Flows by Exploiting Path Diversity in Datacenters",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2517087","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963988891&doi=10.1109%2fTNSM.2016.2517087&partnerID=40&md5=1e127bbc49f395fbf129139998761830"
"Trust-Based Service Management for Mobile Cloud IoT Systems",2019,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2018.2886379","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058615917&doi=10.1109%2fTNSM.2018.2886379&partnerID=40&md5=925634ecb21cfe533046b1d3c58818af"
"Challenges, Designs, and Performances of a Distributed Algorithm for Minimum-Latency of Data-Aggregation in Multi-Channel WSNs",2019,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2018.2884445","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057870980&doi=10.1109%2fTNSM.2018.2884445&partnerID=40&md5=131c65c471553148faf8f0ce91ece01f"
"SDN-Based Smart Gateways (Sm-GWs) for Multi-Operator Small Cell Network Management",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2605924","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027458003&doi=10.1109%2fTNSM.2016.2605924&partnerID=40&md5=25336457ea8756e118c57fd956fb2695"
