Title,Year,Source title,DOI,Link
"On the time and space complexity of ABA prevention and detection",2015,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/2767386.2767403","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957674767&doi=10.1145%2f2767386.2767403&partnerID=40&md5=44693a459677f77b204ff877c7d930f0"
"Improved analysis of deterministic load-balancing schemes",2015,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/2767386.2767413","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946090263&doi=10.1145%2f2767386.2767413&partnerID=40&md5=969471f62540a30e7e22938434143ec4"
"Single-Source Shortest Paths in the CONGEST Model with Improved Bound",2020,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3382734.3405729","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090325409&doi=10.1145%2f3382734.3405729&partnerID=40&md5=6a014d13fa5451b2e07368f3ed3f45b1"
"Strongly linearizable implementations of snapshots and other types",2019,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3293611.3331632","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071046551&doi=10.1145%2f3293611.3331632&partnerID=40&md5=7a93b673042125f66e448bea418f3420"
"Near-Additive Spanners in Low Polynomial Deterministic CONGEST Time",2019,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3293611.3331635","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071025108&doi=10.1145%2f3293611.3331635&partnerID=40&md5=773fa674c49903fb2b7198c7f737bf29"
"Quantum distributed algorithm for the all-pairs shortest path problem in the CONGEST-CLIQUE model",2019,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3293611.3331628","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071009186&doi=10.1145%2f3293611.3331628&partnerID=40&md5=f530b561eb7aa61d24c82ab4a0a6d8dc"
"Distributed coloring in sparse graphs with fewer colors",2018,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3212734.3212740","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052479182&doi=10.1145%2f3212734.3212740&partnerID=40&md5=ff408ac38a862033c044d74e8d22fb2d"
"Almost-surely terminating asynchronous byzantine agreement revisited",2018,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3212734.3212735","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052451643&doi=10.1145%2f3212734.3212735&partnerID=40&md5=890771b0ae390da0f496aa8ac56e0b06"
"A distributed learning dynamics in social groups",2017,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3087801.3087820","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027862969&doi=10.1145%2f3087801.3087820&partnerID=40&md5=949b10a10988873c8e098e9aa8f88d5c"
"Minimal synchrony for byzantine consensus",2015,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/2767386.2767418","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957718693&doi=10.1145%2f2767386.2767418&partnerID=40&md5=ffcd477df1e7960e04402b4e9f79926f"
"The weakest failure detector for eventual consistency",2015,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/2767386.2767404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957617922&doi=10.1145%2f2767386.2767404&partnerID=40&md5=845bbc4431079f95b9a85d859778da87"
"Brief announcement: Robust and private distributed shared atomic memory in message passing networks",2015,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/2767386.2767450","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957610757&doi=10.1145%2f2767386.2767450&partnerID=40&md5=b2ba4569ace31132ede5ac2462bcebde"
"Time-Optimal Self-Stabilizing Leader Election in Population Protocols",2021,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3465084.3467898","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109485150&doi=10.1145%2f3465084.3467898&partnerID=40&md5=8bcc0f6a8bc0ad3b75f414762cb5ec43"
"Upper and Lower Bounds on the Space Complexity of Detectable Objects",2020,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3382734.3405725","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090351494&doi=10.1145%2f3382734.3405725&partnerID=40&md5=894c160e50a5787076efde5fce38142c"
"Distributed Approximation on Power Graphs",2020,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3382734.3405750","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090347569&doi=10.1145%2f3382734.3405750&partnerID=40&md5=05c8aa097a95eea4acfd8848260fbd27"
"An Adaptive Approach to Recoverable Mutual Exclusion",2020,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3382734.3405739","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090346654&doi=10.1145%2f3382734.3405739&partnerID=40&md5=b3ac08f2ab391a2b8b73c7f0112a3574"
"Seeing Far vs. Seeing Wide: Volume Complexity of Local Graph Problems",2020,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3382734.3405721","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090336429&doi=10.1145%2f3382734.3405721&partnerID=40&md5=7320a04edb37cb54a80256f747bd7789"
"Exponentially Faster Shortest Paths in the Congested Clique",2020,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3382734.3405711","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090327828&doi=10.1145%2f3382734.3405711&partnerID=40&md5=c5c6302a16d63cf215f965fa46496db4"
"Massively Parallel Algorithms for Minimum Cut",2020,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3382734.3405737","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090325283&doi=10.1145%2f3382734.3405737&partnerID=40&md5=9468b708c294f74e16e82ad22989684c"
"Genuinely Distributed Byzantine Machine Learning",2020,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3382734.3405695","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090322801&doi=10.1145%2f3382734.3405695&partnerID=40&md5=2c95b00214062f0b3d27ee5f09753e19"
"Hardness of exact distance queries in sparse graphs through hub labeling",2019,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3293611.3331625","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070997056&doi=10.1145%2f3293611.3331625&partnerID=40&md5=7eec94330220ac1fccbd67392be6ec77"
"Randomized concurrent set union and generalized wake-up",2019,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3293611.3331593","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070990799&doi=10.1145%2f3293611.3331593&partnerID=40&md5=719eda8fc296a897fbd1cb4f61cd3f3d"
"Near-optimal distributed routing with low memory",2018,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3212734.3212761","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052479027&doi=10.1145%2f3212734.3212761&partnerID=40&md5=56e4041961c99e3b479ab8b61d7fe25b"
"Tight bounds for asymptotic and approximate consensus",2018,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3212734.3212762","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052457539&doi=10.1145%2f3212734.3212762&partnerID=40&md5=360784f8e8d514a919a9acaf3d6b2b11"
