Title,Year,Source title,DOI,Link
"IBM Db2 Graph: Supporting Synergistic and Retrofittable Graph Queries Inside IBM Db2",2020,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3318464.3386138","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086241829&doi=10.1145%2f3318464.3386138&partnerID=40&md5=307f0a55429b0857923059f688f1da7d"
"ShapeSearch: A Flexible and Efficient System for Shape-based Exploration of Trendlines",2020,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3318464.3389722","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086240189&doi=10.1145%2f3318464.3389722&partnerID=40&md5=64f52155926c41e4ccd733cb56043fb5"
"Bitvector-aware Query Optimization for Decision Support Queries",2020,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3318464.3389769","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086236060&doi=10.1145%2f3318464.3389769&partnerID=40&md5=1c1c708fdcdcc781bf0cf0cfe61c4d55"
"Taurus Database: How to be Fast, Available, and Frugal in the Cloud",2020,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3318464.3386129","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086227835&doi=10.1145%2f3318464.3386129&partnerID=40&md5=9c1625b86a54a23638eb265625459745"
"STAR: A Distributed Stream Warehouse System for Spatial Data",2020,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3318464.3384699","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086227479&doi=10.1145%2f3318464.3384699&partnerID=40&md5=2e8d22c43ba1543b00be0446f900ca29"
"Pensieve: Skewness-Aware Version Switching for Efficient Graph Processing",2020,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3318464.3380590","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086225084&doi=10.1145%2f3318464.3380590&partnerID=40&md5=b721b350ea3a7ccb13384828e5dd69b5"
"On the Optimization of Recursive Relational Queries: Application to Graph Queries",2020,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3318464.3380567","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086221848&doi=10.1145%2f3318464.3380567&partnerID=40&md5=4eb68c3ccf0727529a282a2fb504d3e4"
"Considerations for handling updates in learned index structures",2019,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3329859.3329874","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074448771&doi=10.1145%2f3329859.3329874&partnerID=40&md5=37466b770153cc687fdcde5e8e930421"
"Osprey: Weak Supervision of Imbalanced Extraction Problems without Code",2019,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3329486.3329492","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074453723&doi=10.1145%2f3329486.3329492&partnerID=40&md5=37ef287535eb3f53f5ad8a2a88281bbb"
"Concurrent prefix recovery: Performing CPR on a database",2019,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3299869.3300090","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069533265&doi=10.1145%2f3299869.3300090&partnerID=40&md5=70717e617141527ebd43cc3909d9de8d"
"Efficient estimation of heat kernel pagerank for local clustering",2019,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3299869.3319886","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069525773&doi=10.1145%2f3299869.3319886&partnerID=40&md5=1f8d07e2b79c59a3d8659fe8985496d2"
"Iterative query processing based on unified optimization techniques",2019,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3299869.3324960","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069515184&doi=10.1145%2f3299869.3324960&partnerID=40&md5=2d21d0dc338e91c16ec6a802388687cb"
"MNC: Structure-exploiting sparsity estimation for matrix expressions",2019,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3299869.3319854","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069506416&doi=10.1145%2f3299869.3319854&partnerID=40&md5=61d09e11ab6636e42b5d7cae869e82c5"
"Demonstration of speakQL: Speech-driven Multimodal Querying of Structured Data",2019,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3299869.3320224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069500559&doi=10.1145%2f3299869.3320224&partnerID=40&md5=4f66dc67a080ec1dfd45d6df444d55f2"
"Crowdgame: A game-based crowdsourcing system for cost-effective data labeling",2019,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3299869.3320221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069478458&doi=10.1145%2f3299869.3320221&partnerID=40&md5=183d233dbec89935871a09bc3b977ac1"
"Event trend aggregation under rich event matching semantics",2019,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3299869.3319862","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069475058&doi=10.1145%2f3299869.3319862&partnerID=40&md5=1f3ef609a7d5d8417e621608ba44ce0e"
"Ariadne: Online provenance for big graph analytics",2019,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3299869.3300091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069474486&doi=10.1145%2f3299869.3300091&partnerID=40&md5=9cf9e03800aed8e763fea879f7609945"
"CFS: A distributed file system for large scale container platforms",2019,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3299869.3314046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069470572&doi=10.1145%2f3299869.3314046&partnerID=40&md5=36eb9707d945dad2cca4313aad776206"
"Visual exploration of time series anomalies with metro-viz",2019,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3299869.3320247","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069459225&doi=10.1145%2f3299869.3320247&partnerID=40&md5=b36ff62162dd3a98e5ce9532dc669500"
"Exploring the data wilderness through examples",2019,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3299869.3314031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069451240&doi=10.1145%2f3299869.3314031&partnerID=40&md5=0dafd24e1ab02bba50c75474cb92fdf0"
"Piclean: A probabilistic and interactive data cleaning system",2019,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3299869.3320214","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069442313&doi=10.1145%2f3299869.3320214&partnerID=40&md5=5aa396e718d5dfe6ece1ac608a8ef09d"
"ChronosDB in action: Manage, process, and visualize big geospatial arrays in the cloud",2019,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3299869.3320242","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069439385&doi=10.1145%2f3299869.3320242&partnerID=40&md5=ebafe64940e31f15856b2b7af5bfc8a8"
"Hypothetical reasoning via provenance abstraction",2019,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3299869.3300084","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067934092&doi=10.1145%2f3299869.3300084&partnerID=40&md5=bcc3b9c93c2a7ea08ca4b9a148418568"
"Any-k algorithms for exploratory analysis with conjunctive queries",2018,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3214708.3214711","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065122238&doi=10.1145%2f3214708.3214711&partnerID=40&md5=5d28b5643d2a4e9202c21c672b519c81"
"Top-k sorting under partial order information",2018,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3183713.3199672","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048828469&doi=10.1145%2f3183713.3199672&partnerID=40&md5=d799a8f8db8f88aef63ab2e2e83e03c1"
"Survivability of cloud databases-factors and prediction",2018,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3183713.3190651","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048826152&doi=10.1145%2f3183713.3190651&partnerID=40&md5=90030affa0f84fd7c1d0b07cf9a9890a"
"An ontology based dialog interface to database",2018,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3183713.3193551","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048813342&doi=10.1145%2f3183713.3193551&partnerID=40&md5=1b9edf25c0940ec0149f6e0f34a3dcc2"
"Precision interfaces for different modalities",2018,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3183713.3193570","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048798905&doi=10.1145%2f3183713.3193570&partnerID=40&md5=5324089e1d318d4292f0d0d715538c61"
"QAGView: Interactively summarizing high-valued aggregate query answers",2018,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3183713.3193566","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048783430&doi=10.1145%2f3183713.3193566&partnerID=40&md5=354ad0cc36721d7cef0611f2585df8cb"
"Submodularity of distributed join computation",2018,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3183713.3183728","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048775943&doi=10.1145%2f3183713.3183728&partnerID=40&md5=1613951f8177d0fa2b099b39b465705d"
"Trip planning by an integrated search paradigm",2018,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3183713.3193543","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048775553&doi=10.1145%2f3183713.3193543&partnerID=40&md5=810d83a2a306754e32e9a74538a14372"
