Title,Year,Source title,DOI,Link
"Enhancing cross-ISA DBT through automatically learned translation rules",2018,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3173162.3177160","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045376114&doi=10.1145%2f3173162.3177160&partnerID=40&md5=b11e4e5ac61654b61b724acbb13d2b60"
"PALLAS: Semantic-aware checking for finding deep bugs in fast path",2017,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3037697.3037743","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022023197&doi=10.1145%2f3037697.3037743&partnerID=40&md5=7a335005000115565bd9e424c038eb23"
"AMNESIAC: Amnesic automatic computer trading computation for communication for energy efficiency",2017,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3037697.3037741","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021967298&doi=10.1145%2f3037697.3037741&partnerID=40&md5=b45bb29a131df2f34d9939e53c26e315"
"History-based arbitration for fairness in processor-interconnect of NUMA servers",2017,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3037697.3037753","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021947735&doi=10.1145%2f3037697.3037753&partnerID=40&md5=96ae238b0a01751051699efc6c0f70dc"
"More is less, less is more: Molecular-scale photonic NoC power topologies",2015,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2694344.2694377","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939206716&doi=10.1145%2f2694344.2694377&partnerID=40&md5=91c6fe1a92590159b8531410bc57be47"
"DIABLO: A warehouse-scale computer network simulator using FPGAS",2015,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2694344.2694362","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939197802&doi=10.1145%2f2694344.2694362&partnerID=40&md5=949c20399a7b600a1f1589e0ea0a7dfb"
"Kinetic dependence graphs",2015,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2694344.2694363","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939192447&doi=10.1145%2f2694344.2694363&partnerID=40&md5=c6e22b5175eec89b2ee825b3e1410085"
"CommGuard: Mitigating communication errors in error-prone parallel execution",2015,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2694344.2694354","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939141072&doi=10.1145%2f2694344.2694354&partnerID=40&md5=6f972706e8353030c8c7928372071fff"
"In-fat pointer: Hardware-assisted tagged-pointer spatial memory safety defense with subobject granularity protection",2021,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3445814.3446761","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104813891&doi=10.1145%2f3445814.3446761&partnerID=40&md5=90d9ae9284ac7cdd05feb469192ef769"
"Defensive approximation: Securing CNNs using approximate computing",2021,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3445814.3446747","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104805850&doi=10.1145%2f3445814.3446747&partnerID=40&md5=49e41590b0bbee821f7a049bc5f4ba2c"
"Analytical characterization and design space exploration for optimization of CNNs",2021,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3445814.3446759","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104789256&doi=10.1145%2f3445814.3446759&partnerID=40&md5=e38aa4b4a5e75a7170bd28f76f112191"
"Reducing solid-state drive read latency by optimizing read-retry",2021,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3445814.3446719","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104770850&doi=10.1145%2f3445814.3446719&partnerID=40&md5=8aba7115c968a2f35bab7b8e5362ef3e"
"NOREBA: A compiler-informed non-speculative out-of-order commit processor",2021,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3445814.3446726","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104763336&doi=10.1145%2f3445814.3446726&partnerID=40&md5=9eb71602b06ac21301f8d4c6dd471d22"
"Enclosure: Language-based restriction of untrusted libraries",2021,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3445814.3446728","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104756950&doi=10.1145%2f3445814.3446728&partnerID=40&md5=4312aefdf2d65761c124006d0718068c"
"Automatically detecting and fixing concurrency bugs in go software systems",2021,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3445814.3446756","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104752169&doi=10.1145%2f3445814.3446756&partnerID=40&md5=27f60cb0bbab57bd0532437db8a94c21"
