PaperId,Paper,Year,Conference,Citations,References,Authors,Pages,CitationVelocity,NumOfAuthorsofAffiliations,NumOfDocumentsofAffiliation,NumOfDocsbyAuthors,hIndexAuthors,PlumX,Link,PageRank
10.1109/ICSME46990.2020.00035,"Defining a Software Maintainability Dataset: Collecting, Aggregating and Analysing Expert Evaluations of Software Maintainability",2020,ICSME,1,55,3,11,0,27252,109140,197,34,15,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85096681920&origin=inward,0
10.1109/SCCSIT.2017.8293053,Factors that influence software project cost and schedule estimation,2018,SCCSIT,9,17,2,8,0,3047,7512,11,6,72,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85050500885&origin=inward,0
10.1109/MS.2018.290100920,Does distance still matter? Revisiting collaborative distributed software design,2018,IEEE Software,17,15,4,7,0,39390,182626,687,74,38,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049781991&origin=inward,0
10.1109/SYNASC.2017.00046,A hierarchical clustering-based approach for software restructuring at the package level,2018,SYNASC,6,23,3,7,0,5039,19215,181,25,12,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85058269705&origin=inward,0.7628713929313407
10.1109/TNSM.2018.2848105,Assessing the Maturity of SDN Controllers with Software Reliability Growth Models,2018,IEEE Transactions on Network and Service Management,26,45,7,14,0,63487,340530,1440,189,66,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85048643559&origin=inward,0
10.1109/QRS-C51114.2020.00017,Intelligent Radar Software Defect Prediction Approach and Its Application,2020,QRS Companion,0,8,3,5,0,41368,131088,11,4,7,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85099402690&origin=inward,0
10.1109/ISSREW.2017.26,Applying software reliability engineering process to software development in Korea defense industry,2017,ISSREW,1,2,3,0,0,2678,6488,16,7,33,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85040552292&origin=inward,0
10.1109/ICEEI.2015.7352532,Towards anti-Ageing model for the evergreen software system,2015,ICEEI,6,23,3,5,0,18981,65859,214,21,19,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84961753699&origin=inward,0
10.1109/ET.2017.8124337,Improving the software quality - An educational approach,2017,ET,2,10,4,3,0,426,1595,41,8,14,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85043481009&origin=inward,0.7628713929313407
10.1109/MS.2017.4541051,The Software Architect and DevOps,2017,IEEE Software,39,4,1,2,12,15966,117312,125,23,194,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85040352804&origin=inward,0
10.1109/MS.2016.13,Reducing friction in software development,2016,IEEE Software,37,7,5,6,0,63994,384582,682,127,120,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84973618649&origin=inward,0
10.1109/SBES.2015.26,Influence of the Review of Executed Activities Utilizing Planning Poker Influência da Revisão de Atividades Executadas Utilizando Planning Poker,2015,2015 29th Brazilian Symposium on Software Engineering,2,19,3,8,0,6342,10300,18,7,17,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84962249508&origin=inward,0
